1.000000000000000000e+00 9.991999999999999771e-01
1.076923076923076872e+00 9.968000000000000194e-01
1.153846153846153744e+00 9.951999999999999735e-01
1.230769230769230838e+00 9.943999999999999506e-01
1.307692307692307709e+00 9.991999999999999771e-01
1.384615384615384581e+00 9.856000000000000316e-01
1.461538461538461675e+00 9.943999999999999506e-01
1.538461538461538547e+00 9.784000000000000474e-01
1.615384615384615419e+00 9.784000000000000474e-01
1.692307692307692291e+00 9.679999999999999716e-01
1.769230769230769162e+00 9.639999999999999680e-01
1.846153846153846256e+00 9.584000000000000297e-01
1.923076923076923128e+00 9.247999999999999554e-01
2.000000000000000000e+00 9.272000000000000242e-01
2.076923076923077094e+00 8.823999999999999622e-01
2.153846153846154188e+00 8.336000000000000076e-01
2.230769230769230838e+00 7.935999999999999721e-01
2.307692307692307487e+00 6.271999999999999797e-01
2.384615384615384581e+00 4.279999999999999916e-01
2.461538461538461675e+00 1.519999999999999997e-02
2.538461538461538325e+00 1.567999999999999949e-01
2.615384615384615419e+00 1.192000000000000004e-01
2.692307692307692513e+00 1.032000000000000001e-01
2.769230769230769162e+00 1.039999999999999952e-02
2.846153846153846256e+00 4.080000000000000293e-02
2.923076923076923350e+00 8.959999999999999909e-02
3.000000000000000000e+00 5.599999999999999943e-03
3.076923076923077094e+00 1.600000000000000077e-03
3.153846153846154188e+00 6.640000000000000069e-02
3.230769230769230838e+00 6.160000000000000198e-02
3.307692307692307931e+00 5.840000000000000052e-02
3.384615384615384581e+00 6.479999999999999649e-02
3.461538461538461675e+00 1.679999999999999896e-02
3.538461538461538769e+00 3.839999999999999664e-02
3.615384615384615419e+00 5.120000000000000245e-02
3.692307692307692513e+00 3.039999999999999994e-02
3.769230769230769162e+00 9.919999999999999651e-02
3.846153846153846256e+00 1.760000000000000106e-02
3.923076923076923350e+00 2.319999999999999840e-02
4.000000000000000000e+00 1.919999999999999832e-02
