1.000000000000000000e+00 -1.996799999999999908e+00
1.076923076923076872e+00 -1.987200000000000077e+00
1.153846153846153744e+00 -1.983999999999999986e+00
1.230769230769230838e+00 -1.979200000000000070e+00
1.307692307692307709e+00 -1.996799999999999908e+00
1.384615384615384581e+00 -1.947200000000000042e+00
1.461538461538461675e+00 -1.977600000000000025e+00
1.538461538461538547e+00 -1.918400000000000105e+00
1.615384615384615419e+00 -1.921599999999999975e+00
1.692307692307692291e+00 -1.891199999999999992e+00
1.769230769230769162e+00 -1.891199999999999992e+00
1.846153846153846256e+00 -1.864000000000000101e+00
1.923076923076923128e+00 -1.753600000000000048e+00
2.000000000000000000e+00 -1.772799999999999931e+00
2.076923076923077094e+00 -1.692800000000000082e+00
2.153846153846154188e+00 -1.612800000000000011e+00
2.230769230769230838e+00 -1.523200000000000109e+00
2.307692307692307487e+00 -1.390400000000000080e+00
2.384615384615384581e+00 -1.252799999999999914e+00
2.461538461538461675e+00 -1.150400000000000089e+00
2.538461538461538325e+00 -1.134400000000000075e+00
2.615384615384615419e+00 -9.776000000000000245e-01
2.692307692307692513e+00 -9.759999999999999787e-01
2.769230769230769162e+00 -8.703999999999999515e-01
2.846153846153846256e+00 -8.464000000000000412e-01
2.923076923076923350e+00 -8.863999999999999657e-01
3.000000000000000000e+00 -8.848000000000000309e-01
3.076923076923077094e+00 -7.471999999999999753e-01
3.153846153846154188e+00 -8.175999999999999934e-01
3.230769230769230838e+00 -7.359999999999999876e-01
3.307692307692307931e+00 -6.543999999999999817e-01
3.384615384615384581e+00 -6.864000000000000101e-01
3.461538461538461675e+00 -6.944000000000000172e-01
3.538461538461538769e+00 -7.087999999999999856e-01
3.615384615384615419e+00 -6.320000000000000062e-01
3.692307692307692513e+00 -6.463999999999999746e-01
3.769230769230769162e+00 -5.727999999999999758e-01
3.846153846153846256e+00 -5.632000000000000339e-01
3.923076923076923350e+00 -5.280000000000000249e-01
4.000000000000000000e+00 -5.552000000000000268e-01
